时间 (秒 s) 运行#1（h=50mm）,绝对压力1 (千帕 kPa) 运行#1,时间 (秒 s) 运行#2（40）,绝对压力1 (千帕 kPa) 运行#2,时间 (秒 s) 运行#3（30）,绝对压力1 (千帕 kPa) 运行#3,时间 (秒 s) 运行#4（60）,绝对压力1 (千帕 kPa) 运行#4
0.437,100.46,0.437,100.52,0.437,100.52,0.437,100.52
0.438,100.46,0.438,100.51,0.438,100.52,0.438,100.52
0.439,100.49,0.439,100.52,0.439,100.51,0.439,100.52
0.44,100.49,0.44,100.52,0.44,100.5,0.44,100.52
0.441,100.52,0.441,100.53,0.441,100.52,0.441,100.54
0.442,100.52,0.442,100.52,0.442,100.51,0.442,100.54
0.443,100.54,0.443,100.54,0.443,100.5,0.443,100.53
0.444,100.55,0.444,100.54,0.444,100.5,0.444,100.52
0.445,100.57,0.445,100.53,0.445,100.52,0.445,100.54
0.446,100.58,0.446,100.53,0.446,100.52,0.446,100.53
0.447,100.6,0.447,100.52,0.447,100.52,0.447,100.54
0.448,100.6,0.448,100.52,0.448,100.52,0.448,100.54
0.449,100.61,0.449,100.52,0.449,100.52,0.449,100.53
0.45,100.61,0.45,100.54,0.45,100.52,0.45,100.53
0.451,100.59,0.451,100.52,0.451,100.52,0.451,100.52
0.452,100.59,0.452,100.52,0.452,100.52,0.452,100.51
0.453,100.58,0.453,100.52,0.453,100.52,0.453,100.52
0.454,100.58,0.454,100.52,0.454,100.53,0.454,100.55
0.455,100.55,0.455,100.53,0.455,100.54,0.455,100.54
0.456,100.53,0.456,100.52,0.456,100.53,0.456,100.55
0.457,100.52,0.457,100.52,0.457,100.53,0.457,100.54
0.458,100.51,0.458,100.52,0.458,100.55,0.458,100.55
0.459,100.49,0.459,100.52,0.459,100.54,0.459,100.55
0.46,100.48,0.46,100.52,0.46,100.53,0.46,100.55
0.461,100.48,0.461,100.54,0.461,100.54,0.461,100.54
0.462,100.49,0.462,100.55,0.462,100.52,0.462,100.53
0.463,100.49,0.463,100.52,0.463,100.53,0.463,100.55
0.464,100.47,0.464,100.54,0.464,100.53,0.464,100.54
0.465,100.48,0.465,100.53,0.465,100.53,0.465,100.54
0.466,100.48,0.466,100.53,0.466,100.52,0.466,100.52
0.467,100.51,0.467,100.55,0.467,100.53,0.467,100.53
0.468,100.5,0.468,100.54,0.468,100.54,0.468,100.54
0.469,100.5,0.469,100.55,0.469,100.52,0.469,100.53
0.47,100.51,0.47,100.54,0.47,100.52,0.47,100.54
0.471,100.51,0.471,100.54,0.471,100.52,0.471,100.54
0.472,100.52,0.472,100.55,0.472,100.53,0.472,100.52
0.473,100.53,0.473,100.55,0.473,100.52,0.473,100.55
0.474,100.53,0.474,100.54,0.474,100.53,0.474,100.54
0.475,100.52,0.475,100.53,0.475,100.53,0.475,100.54
0.476,100.52,0.476,100.52,0.476,100.52,0.476,100.54
0.477,100.52,0.477,100.53,0.477,100.54,0.477,100.52
0.478,100.53,0.478,100.53,0.478,100.53,0.478,100.55
0.479,100.55,0.479,100.52,0.479,100.55,0.479,100.55
0.48,100.53,0.48,100.52,0.48,100.54,0.48,100.55
0.481,100.53,0.481,100.53,0.481,100.55,0.481,100.54
0.482,100.53,0.482,100.53,0.482,100.55,0.482,100.54
0.483,100.54,0.483,100.54,0.483,100.55,0.483,100.54
0.484,100.54,0.484,100.54,0.484,100.53,0.484,100.54
0.485,100.54,0.485,100.54,0.485,100.55,0.485,100.53
0.486,100.53,0.486,100.53,0.486,100.52,0.486,100.53
0.487,100.52,0.487,100.54,0.487,100.54,0.487,100.53
0.488,100.52,0.488,100.54,0.488,100.52,0.488,100.54
0.489,100.52,0.489,100.54,0.489,100.52,0.489,100.55
0.49,100.52,0.49,100.55,0.49,100.53,0.49,100.55
0.491,100.52,0.491,100.54,0.491,100.51,0.491,100.54
0.492,100.52,0.492,100.53,0.492,100.53,0.492,100.55
0.493,100.52,0.493,100.55,0.493,100.51,0.493,100.54
0.494,100.52,0.494,100.54,0.494,100.52,0.494,100.53
0.495,100.51,0.495,100.55,0.495,100.53,0.495,100.54
0.496,100.52,0.496,100.55,0.496,100.51,0.496,100.52
0.497,100.52,0.497,100.55,0.497,100.52,0.497,100.52
0.498,100.52,0.498,100.54,0.498,100.54,0.498,100.52
0.499,100.52,0.499,100.54,0.499,100.53,0.499,100.52
0.5,100.51,0.5,100.54,0.5,100.52,0.5,100.51
